	id	treatment	condition	day	bwc	burON	hr	hrv	temp	act
64	Ca_006	Transmitter	Carprofen	2	89.8477157360406	79.4579172610556	537.174311926605	7.49999259259259	36.9628440366972	528.03
65	Ca_006	Transmitter	Carprofen	3	90.8629441624365	NA	483.449541284404	8.48848796296296	36.8211926605505	490.75
66	Ca_006	Transmitter	Carprofen	4	90.8629441624365	71.4592274678112	521.238532110092	7.58865462962963	37.0177064220183	576.54
67	Ca_006	Transmitter	Carprofen	5	95.9390862944162	NA	449.560747663551	9.04116759259259	36.3951401869159	612.85
68	Ca_006	Transmitter	Carprofen	6	93.9086294416244	NA	NA	NA	NA	NA
69	Ca_006	Transmitter	Carprofen	7	97.4619289340101	87.4731567644953	443.660550458716	10.8125703703704	36.4378899082569	563.02
70	Ca_006	Transmitter	Carprofen	8	97.4619289340101	NA	NA	NA	NA	NA
71	Ca_006	Transmitter	Carprofen	9	100	NA	NA	NA	NA	NA
72	Ca_006	Transmitter	Carprofen	10	102.030456852792	NA	NA	NA	NA	NA
73	Ca_006	Transmitter	Carprofen	11	101.522842639594	NA	NA	NA	NA	NA
74	Ca_006	Transmitter	Carprofen	12	102.030456852792	NA	NA	NA	NA	NA
75	Ca_006	Transmitter	Carprofen	13	104.060913705584	NA	NA	NA	NA	NA
76	Ca_006	Transmitter	Carprofen	14	106.598984771574	NA	474.752293577982	12.6994962616822	36.5453211009174	957.3
77	Ca_006	Transmitter	Carprofen	15	107.61421319797	NA	NA	NA	NA	NA
78	Ca_006	Transmitter	Carprofen	16	106.598984771574	NA	NA	NA	NA	NA
79	Ca_006	Transmitter	Carprofen	17	107.106598984772	NA	NA	NA	NA	NA
80	Ca_006	Transmitter	Carprofen	18	107.106598984772	NA	NA	NA	NA	NA
81	Ca_006	Transmitter	Carprofen	19	109.137055837563	NA	NA	NA	NA	NA
82	Ca_006	Transmitter	Carprofen	20	110.659898477157	NA	NA	NA	NA	NA
83	Ca_006	Transmitter	Carprofen	21	111.675126903553	NA	NA	NA	NA	NA
84	Ca_006	Transmitter	Carprofen	22	114.213197969543	NA	NA	NA	NA	NA
85	Ca_006	Transmitter	Carprofen	23	115.736040609137	NA	NA	NA	NA	NA
86	Ca_006	Transmitter	Carprofen	24	115.228426395939	NA	NA	NA	NA	NA
87	Ca_006	Transmitter	Carprofen	25	115.228426395939	NA	NA	NA	NA	NA
88	Ca_006	Transmitter	Carprofen	26	114.213197969543	NA	NA	NA	NA	NA
89	Ca_006	Transmitter	Carprofen	27	112.690355329949	NA	NA	NA	NA	NA
90	Ca_006	Transmitter	Carprofen	28	110.66	NA	454.201834862385	13.9006757009346	36.4744036697248	1063.86
91	Ca_008	Transmitter	Carprofen	-1	100	100	478.110091743119	13.1386101851852	36.6155963302752	795.46
92	Ca_008	Transmitter	Carprofen	0	87.7551020408163	1.78826895565092	673.912087912088	2.29353707865169	35.61	122.38
93	Ca_008	Transmitter	Carprofen	1	86.2244897959184	57.2961373390558	615.100917431193	5.13800648148148	37.4915596330275	110.81
94	Ca_008	Transmitter	Carprofen	2	88.265306122449	100	543.761467889908	6.23684537037037	37.2315596330275	548.23
95	Ca_008	Transmitter	Carprofen	3	87.7551020408163	NA	496.706422018349	6.17143611111111	36.7887155963303	213.08
96	Ca_008	Transmitter	Carprofen	4	89.7959183673469	100	535.018348623853	6.03876851851852	36.9033027522936	226
97	Ca_008	Transmitter	Carprofen	5	93.8775510204081	NA	500.607476635514	6.99159259259259	36.8923364485981	425.84
98	Ca_008	Transmitter	Carprofen	6	92.8571428571428	NA	NA	NA	NA	NA
99	Ca_008	Transmitter	Carprofen	7	92.8571428571428	100	501.614678899083	7.80755370370371	36.6032110091743	484.48
100	Ca_008	Transmitter	Carprofen	8	95.9183673469388	NA	NA	NA	NA	NA
101	Ca_008	Transmitter	Carprofen	9	98.9795918367347	NA	NA	NA	NA	NA
102	Ca_008	Transmitter	Carprofen	10	100.510204081633	NA	NA	NA	NA	NA
103	Ca_008	Transmitter	Carprofen	11	101.530612244898	NA	NA	NA	NA	NA
104	Ca_008	Transmitter	Carprofen	12	100.510204081633	NA	NA	NA	NA	NA
105	Ca_008	Transmitter	Carprofen	13	102.040816326531	NA	NA	NA	NA	NA
106	Ca_008	Transmitter	Carprofen	14	103.571428571429	NA	476.807339449541	14.2203546296296	36.4744036697248	539.98
107	Ca_008	Transmitter	Carprofen	15	104.591836734694	NA	NA	NA	NA	NA
108	Ca_008	Transmitter	Carprofen	16	107.142857142857	NA	NA	NA	NA	NA
109	Ca_008	Transmitter	Carprofen	17	105.102040816327	NA	NA	NA	NA	NA
110	Ca_008	Transmitter	Carprofen	18	106.632653061224	NA	NA	NA	NA	NA
111	Ca_008	Transmitter	Carprofen	19	107.142857142857	NA	NA	NA	NA	NA
112	Ca_008	Transmitter	Carprofen	20	108.163265306122	NA	NA	NA	NA	NA
113	Ca_008	Transmitter	Carprofen	21	110.714285714286	NA	NA	NA	NA	NA
114	Ca_008	Transmitter	Carprofen	22	108.163265306122	NA	NA	NA	NA	NA
115	Ca_008	Transmitter	Carprofen	23	109.183673469388	NA	NA	NA	NA	NA
116	Ca_008	Transmitter	Carprofen	24	109.69387755102	NA	NA	NA	NA	NA
117	Ca_008	Transmitter	Carprofen	25	109.183673469388	NA	NA	NA	NA	NA
118	Ca_008	Transmitter	Carprofen	26	109.69387755102	NA	NA	NA	NA	NA
119	Ca_008	Transmitter	Carprofen	27	107.142857142857	NA	NA	NA	NA	NA
120	Ca_008	Transmitter	Carprofen	28	108.67	NA	478.110091743119	13.1386101851852	36.6155963302752	795.46
121	Ca_009	Transmitter	Carprofen	-1	100	100	465.788990825688	8.47116944444444	36.5166055045872	653.21
122	Ca_009	Transmitter	Carprofen	0	84.5454545454546	14.9786019971469	604.83185840708	2.28647321428571	36.2744247787611	107.82
123	Ca_009	Transmitter	Carprofen	1	86.3636363636364	64.8320228734811	529.211009174312	3.74727962962963	37.3757798165138	143.4
124	Ca_009	Transmitter	Carprofen	2	87.7272727272727	79.6561604584527	504.908256880734	4.80816481481482	37.0815596330275	169
125	Ca_009	Transmitter	Carprofen	3	91.3636363636364	NA	485.54128440367	4.92600740740741	36.9170642201835	293.8
126	Ca_009	Transmitter	Carprofen	4	92.2727272727273	94.2569992821249	545.348623853211	4.39993888888889	37.1821100917431	353
127	Ca_009	Transmitter	Carprofen	5	94.0909090909091	NA	485.201834862385	5.00841944444445	36.7833027522936	447
128	Ca_009	Transmitter	Carprofen	6	94.5454545454546	NA	NA	NA	NA	NA
129	Ca_009	Transmitter	Carprofen	7	95.9090909090909	100	463.871559633028	6.3333712962963	36.5868807339449	1075.48
130	Ca_009	Transmitter	Carprofen	8	97.7272727272727	NA	NA	NA	NA	NA
131	Ca_009	Transmitter	Carprofen	9	100.454545454545	NA	NA	NA	NA	NA
132	Ca_009	Transmitter	Carprofen	10	102.272727272727	NA	NA	NA	NA	NA
133	Ca_009	Transmitter	Carprofen	11	97.7272727272727	NA	NA	NA	NA	NA
134	Ca_009	Transmitter	Carprofen	12	100.454545454545	NA	NA	NA	NA	NA
135	Ca_009	Transmitter	Carprofen	13	104.545454545455	NA	NA	NA	NA	NA
136	Ca_009	Transmitter	Carprofen	14	104.545454545455	NA	480.05504587156	6.48667685185185	36.642752293578	1018.74
137	Ca_009	Transmitter	Carprofen	15	107.272727272727	NA	NA	NA	NA	NA
138	Ca_009	Transmitter	Carprofen	16	105	NA	NA	NA	NA	NA
139	Ca_009	Transmitter	Carprofen	17	104.545454545455	NA	NA	NA	NA	NA
140	Ca_009	Transmitter	Carprofen	18	106.363636363636	NA	NA	NA	NA	NA
141	Ca_009	Transmitter	Carprofen	19	108.181818181818	NA	NA	NA	NA	NA
142	Ca_009	Transmitter	Carprofen	20	110	NA	NA	NA	NA	NA
