	id	treatment	condition	day	bwc	hr	hrv	temp	act
66	ID_801	CLP	Endpoint	22	NA	NA	NA	NA	NA
67	ID_801	CLP	Endpoint	23	NA	NA	NA	NA	NA
68	ID_801	CLP	Endpoint	24	NA	NA	NA	NA	NA
69	ID_801	CLP	Endpoint	25	NA	NA	NA	NA	NA
70	ID_801	CLP	Endpoint	26	NA	NA	NA	NA	NA
71	ID_801	CLP	Endpoint	27	NA	NA	NA	NA	NA
72	ID_801	CLP	Endpoint	28	NA	NA	NA	NA	NA
73	ID_801	CLP	Endpoint	29	NA	NA	NA	NA	NA
74	ID_801	CLP	Endpoint	30	NA	NA	NA	NA	NA
75	ID_801	CLP	Endpoint	31	NA	NA	NA	NA	NA
76	ID_801	CLP	Endpoint	32	NA	NA	NA	NA	NA
77	ID_801	CLP	Endpoint	33	NA	NA	NA	NA	NA
78	ID_801	CLP	Endpoint	34	NA	NA	NA	NA	NA
79	ID_801	CLP	Endpoint	35	NA	NA	NA	NA	NA
80	ID_801	CLP	Endpoint	36	NA	NA	NA	NA	NA
81	ID_801	CLP	Endpoint	37	NA	NA	NA	NA	NA
82	ID_801	CLP	Endpoint	38	NA	NA	NA	NA	NA
83	ID_801	CLP	Endpoint	39	NA	NA	NA	NA	NA
84	ID_801	CLP	Endpoint	40	NA	NA	NA	NA	NA
85	ID_802	Sham	Sham	-1	100	563.5691877	7.921806289	34.19828838	476.0473294
86	ID_802	Sham	Sham	0	NA	513.9333333	11.104285	34.07771667	103.5044
87	ID_802	Sham	Sham	1	NA	527.5423729	10.51866167	34.86415	864.2838
88	ID_802	Sham	Sham	2	NA	533	10.60882167	35.11038333	892.3439
89	ID_802	Sham	Sham	3	NA	552.7833333	9.873723333	35.25351667	1065.4823
90	ID_802	Sham	Sham	4	NA	558.3333333	10.93578167	35.22268333	806.6289
91	ID_802	Sham	Sham	5	NA	571.4237288	10.06049	35.02681667	1474.5783
92	ID_802	Sham	Sham	6	NA	521.9	11.86061	35.10788333	2644.442
93	ID_802	Sham	Sham	7	NA	538.9833333	12.186525	34.98643333	2297.58
94	ID_802	Sham	Sham	8	NA	558.4	10.68677833	34.99585	2065.6472
95	ID_802	Sham	Sham	9	NA	561.6833333	9.604916667	34.67255	1988.4652
96	ID_802	Sham	Sham	10	NA	571.3166667	9.526208333	34.5492	1216.8987
97	ID_802	Sham	Sham	11	NA	584.7666667	8.879616667	34.80071667	911.7776
98	ID_802	Sham	Sham	12	NA	568.4166667	9.751555	34.4828	714.9782
99	ID_802	Sham	Sham	13	NA	579.7	7.98165	34.64041667	806.4448
100	ID_802	Sham	Sham	14	NA	538.7666667	8.74027	34.43265	409.0352
101	ID_802	Sham	Sham	15	NA	577.7333333	5.967808333	34.01916667	148.9653
102	ID_802	Sham	Sham	16	98.38709677	586.137931	7.918535593	34.00174576	320.3051
103	ID_802	Sham	Sham	17	NA	526.8333333	12.136685	34.4094	305.83
104	ID_802	Sham	Sham	18	NA	515.9166667	14.01126333	33.99983333	357.0012
105	ID_802	Sham	Sham	19	NA	550.8305085	10.928615	34.0494	751.5091
106	ID_802	Sham	Sham	20	NA	533.25	13.45490667	33.95443333	245.8087
107	ID_802	Sham	Sham	21	NA	545.9827586	9.908162712	33.76050847	456.4648
108	ID_802	Sham	Sham	22	NA	521.8333333	12.93797333	33.7647	51.4787
109	ID_802	Sham	Sham	23	NA	581.877193	8.486749153	34.18547458	502.0249
110	ID_802	Sham	Sham	24	NA	489.5833333	16.58303	34.19208333	288.7367
111	ID_802	Sham	Sham	25	NA	537.4	11.24781667	34.29253333	720.1126
112	ID_802	Sham	Sham	26	NA	551.4	10.68211333	34.5251	264.0087
113	ID_802	Sham	Sham	27	NA	555.2666667	10.30223667	34.63855	665.1131
114	ID_802	Sham	Sham	28	NA	565.0166667	9.767735	34.44721667	423.6724
115	ID_802	Sham	Sham	29	NA	592.6440678	8.14167	34.5257	1489.6484
116	ID_802	Sham	Sham	30	NA	578	10.42774833	34.74693333	926.1915
117	ID_802	Sham	Sham	31	NA	544.6333333	10.68790333	34.64853333	557.3601
118	ID_802	Sham	Sham	32	NA	558.5166667	10.56937167	34.60788333	516.2359
119	ID_802	Sham	Sham	33	NA	581.1666667	9.41094	34.57946667	1011.4192
120	ID_802	Sham	Sham	34	NA	556.7118644	10.80148333	34.52036667	543.4983
121	ID_802	Sham	Sham	35	NA	587.1333333	9.272558333	34.34798333	386.4908
122	ID_802	Sham	Sham	36	NA	596.2333333	7.982971667	34.27173333	256.106
123	ID_802	Sham	Sham	37	NA	600.9333333	8.272323333	34.31386667	457.6503
